Trial,Reward,Algorithm
0,1.5799409735681373,ThompsonSampling
1,1.9582006649991255,ThompsonSampling
2,2.1759607754837282,ThompsonSampling
3,1.9326599610920525,ThompsonSampling
4,2.634334286503884,ThompsonSampling
5,2.8341761707194615,ThompsonSampling
6,2.472020425057784,ThompsonSampling
7,1.9850360866975074,ThompsonSampling
8,3.683822167188011,ThompsonSampling
9,2.174530880051249,ThompsonSampling
10,1.6023827927155017,ThompsonSampling
11,1.934769900464332,ThompsonSampling
12,3.843839463248708,ThompsonSampling
13,2.7085392416298126,ThompsonSampling
14,4.9674268111932225,ThompsonSampling
15,0.15650072562745354,ThompsonSampling
16,2.770918655061962,ThompsonSampling
17,3.386552354112983,ThompsonSampling
18,2.368647000343136,ThompsonSampling
19,2.2339359402428562,ThompsonSampling
20,3.4254727220230743,ThompsonSampling
21,2.645824633264318,ThompsonSampling
22,4.909893774670542,ThompsonSampling
23,3.174937109511717,ThompsonSampling
24,2.590343487894472,ThompsonSampling
25,2.759135239129121,ThompsonSampling
26,5.937965025448383,ThompsonSampling
27,3.0777085070798402,ThompsonSampling
28,3.6791650634444935,ThompsonSampling
29,2.85610064793607,ThompsonSampling
30,3.836460314465661,ThompsonSampling
31,2.4899826897538846,ThompsonSampling
32,3.9231355388942384,ThompsonSampling
33,1.2668933176351536,ThompsonSampling
34,2.2631775880594005,ThompsonSampling
35,2.505633729607276,ThompsonSampling
36,3.2752800445065504,ThompsonSampling
37,2.5762334523079806,ThompsonSampling
38,3.7757550258735484,ThompsonSampling
39,2.9353853312514606,ThompsonSampling
40,1.4846972094069013,ThompsonSampling
41,3.1104373921511836,ThompsonSampling
42,3.1193705760066477,ThompsonSampling
43,4.578482925684545,ThompsonSampling
44,2.396439777733783,ThompsonSampling
45,3.7969771194717685,ThompsonSampling
46,4.391974262089116,ThompsonSampling
47,2.313871774404626,ThompsonSampling
48,5.22524224030429,ThompsonSampling
49,3.1885127945384126,ThompsonSampling
50,3.4350989530010767,ThompsonSampling
51,2.6375410064406943,ThompsonSampling
52,3.8556628566653073,ThompsonSampling
53,2.4151288885723927,ThompsonSampling
54,2.9123656952395933,ThompsonSampling
55,4.2472783435208825,ThompsonSampling
56,2.9241245771125843,ThompsonSampling
57,3.778166790884299,ThompsonSampling
58,2.8105314017615197,ThompsonSampling
59,3.595768087770223,ThompsonSampling
60,0.9436475328941998,ThompsonSampling
61,2.314566908865312,ThompsonSampling
62,2.7100034718791415,ThompsonSampling
63,3.3371931222215965,ThompsonSampling
64,3.0323606016491955,ThompsonSampling
65,2.9755008914645353,ThompsonSampling
66,5.458345525069368,ThompsonSampling
67,1.1601843168541246,ThompsonSampling
68,3.0753718300201953,ThompsonSampling
69,4.383893461746636,ThompsonSampling
70,3.6469359813890643,ThompsonSampling
71,3.91761816511598,ThompsonSampling
72,3.7471295765002917,ThompsonSampling
73,1.7368311582320621,ThompsonSampling
74,3.856268734406863,ThompsonSampling
75,3.008189584704263,ThompsonSampling
76,2.2243103100880446,ThompsonSampling
77,1.7671672984857634,ThompsonSampling
78,2.6568503592446318,ThompsonSampling
79,4.01016334762029,ThompsonSampling
80,3.338659137347744,ThompsonSampling
81,2.033968678064341,ThompsonSampling
82,2.2238565938959822,ThompsonSampling
83,3.7695401508962467,ThompsonSampling
84,4.270716068936465,ThompsonSampling
85,2.4031751335893,ThompsonSampling
86,4.5684458235572825,ThompsonSampling
87,2.863341535003329,ThompsonSampling
88,3.874844107979924,ThompsonSampling
89,2.7202193855121113,ThompsonSampling
90,3.144873393265784,ThompsonSampling
91,3.449186174737069,ThompsonSampling
92,0.960903250529189,ThompsonSampling
93,3.069067668783735,ThompsonSampling
94,3.6272599657664335,ThompsonSampling
95,3.3555259368917882,ThompsonSampling
96,3.6081850053129974,ThompsonSampling
97,2.956341570595057,ThompsonSampling
98,4.267392298102231,ThompsonSampling
99,2.087182978903433,ThompsonSampling
100,1.1685931278093904,ThompsonSampling
101,1.4521691846979436,ThompsonSampling
102,2.3525803141144404,ThompsonSampling
103,2.5922280838981697,ThompsonSampling
104,2.9082512276909354,ThompsonSampling
105,5.308989554519453,ThompsonSampling
106,1.2520539956627412,ThompsonSampling
